Model: DenseNet, Epoch: 20, Train Acc: 72.53%, Test Acc: 71.79%, Train Loss: 0.5973, Test Loss: 0.5993, AUC: 0.5165
Model: ViT, Epoch: 1, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7438, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 2, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7456, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 3, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7435, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 4, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7563, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 5, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7542, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 6, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7547, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 7, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7487, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 8, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7492, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 9, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7471, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 10, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7441, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 11, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7477, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 12, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7575, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 13, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7508, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 14, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7481, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 15, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7486, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 16, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7459, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 17, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7500, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 18, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7448, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 19, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7440, Test Loss: 0.7063, AUC: 0.6589
Model: ViT, Epoch: 20, Train Acc: 48.90%, Test Acc: 51.92%, Train Loss: 0.7491, Test Loss: 0.7063, AUC: 0.6589
